Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location,url1,url2,url3
201306,RUMFORD  HOSPITAL,420 FRANKLIN STREET,RUMFORD,ME,4276,OXFORD,2073691000,Critical Access Hospitals,Proprietary,True,True,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"420 FRANKLIN STREET RUMFORD, ME (44.551721, -70.557171)",https://www.cmhc.org/rumford-hospital/,https://www.cmhc.org/rumford-hospital/contact-us/,https://www.evensi.us/page/rumford-hospital/10006251615
240210,HEALTHEAST ST JOHN'S HOSPITAL,1575 BEAM AVENUE,MAPLEWOOD,MN,55109,RAMSEY,6512327000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Above the national average,,"1575 BEAM AVENUE MAPLEWOOD, MN (45.028131, -93.033508)",https://www.fairview.org/locations/healtheast-st-johns-hospital,https://www.fairview.org/locations/healtheast-st-johns-hospital/maternity-care-center,https://www.healtheast.org/component/rseventspro/location/34-st-john-s-hospital-cancer-care.html
210001,MERITUS MEDICAL CENTER,11116 MEDICAL CAMPUS ROAD,HAGERSTOWN,MD,21742,WASHINGTON,2403139500,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"11116 MEDICAL CAMPUS ROAD HAGERSTOWN, MD (39.623764, -77.683344)",https://www.meritushealth.com/,https://www.healthgrades.com/hospital-directory/maryland-md/meritus-medical-center-hgste0857767210001,https://health.usnews.com/best-hospitals/area/md/meritus-medical-center-6320580
161300,BAUM HARMON MERCY HOSPITAL,255 N WELCH AVENUE,PRIMGHAR,IA,51245,OBRIEN,7129572300,Critical Access Hospitals,Voluntary non-profit - Church,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"255 N WELCH AVENUE PRIMGHAR, IA (43.088597, -95.622796)",http://www.baumharmon.org/baum-harmon,https://www.baumharmon.org/primghar,https://www.baumharmon.org/clinics-baum-harmon
170103,NEWTON MEDICAL CENTER,600 MEDICAL CENTER DRIVE,NEWTON,KS,67114,HARVEY,3162832700,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"600 MEDICAL CENTER DRIVE NEWTON, KS (38.023034, -97.33654)",https://www.newtonmed.com/,https://www.newtonmed.com/contact/,https://www.newtonmed.com/careers/
190008,TERREBONNE GENERAL MEDICAL CENTER,8166 MAIN STREET,HOUMA,LA,70360,TERREBONNE,9858734141,Acute Care Hospitals,Government - Hospital District or Authority,True,True,4,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"8166 MAIN STREET HOUMA, LA (29.598537, -90.714322)",https://www.tgmc.com/,https://www.tgmc.com/contact/,https://www.tgmc.com/join-our-team/
161369,CRAWFORD COUNTY MEMORIAL HOSPITAL,100 MEDICAL PARKWAY,DENISON,IA,51442,CRAWFORD,7122652500,Critical Access Hospitals,Voluntary non-profit - Other,True,True,2,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,"100 MEDICAL PARKWAY DENISON, IA (42.023257, -95.377086)",https://www.ccmhia.com/,http://www.ccmhia.com/primary-care-clinics/ccmh-main-campus.aspx,https://www.ccmhia.com/career-opportunities/
121300,KAUAI VETERANS MEMORIAL HOSPITAL,4643 WAIMEA CANYON DRIVE,WAIMEA,HI,96796,KAUAI,8083389431,Critical Access Hospitals,Government - State,True,True,3,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"4643 WAIMEA CANYON DRIVE WAIMEA, HI (21.960079, -159.670055)",https://kvmh.hhsc.org/,https://kvmh.hhsc.org/about-us/contact-us/,https://kvmh.hhsc.org/facilities/kauai-veterans-memorial-hospital-kvmh/
161367,PELLA REGIONAL HEALTH CENTER,404 JEFFERSON STREET,PELLA,IA,50219,MARION,6416283150,Critical Access Hospitals,Voluntary non-profit - Other,True,True,4,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,"404 JEFFERSON STREET PELLA, IA (41.412337, -92.911667)",https://www.pellahealth.org/,https://www.facebook.com/pellaregional/,https://www.iowaclinic.com/locations/pella-regional-health-center/
190307,SOUTH CAMERON MEMORIAL HOSPITAL,5360 WEST CREOLE HWY,CAMERON,LA,70631,CAMERON,3375424111,Acute Care Hospitals,Proprietary,True,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"5360 WEST CREOLE HWY CAMERON, LA (29.807173, -93.165245)",http://cameronparishtouristcommission.org/listing/south-cameron-memorial-hospital,http://ldh.la.gov/index.cfm/directory/detail/7455,https://www.ahd.com/free_profile/190307/South_Cameron_Memorial_Hospital/Cameron/Louisiana/
191303,ASSUMPTION COMMUNITY HOSPITAL,135 HIGHWAY 402,NAPOLEONVILLE,LA,70390,ASSUMPTION,9853693600,Critical Access Hospitals,Voluntary non-profit - Private,True,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"135 HIGHWAY 402 NAPOLEONVILLE, LA (29.957585, -91.033875)",https://ololrmc.com/location/assumption-community-hospital,http://ldh.la.gov/index.cfm/directory/detail/1770/catid/169,http://ldh.louisiana.gov/index.cfm/directory/detail/1770
150074,COMMUNITY HOSPITAL EAST,1500 N RITTER AVE,INDIANAPOLIS,IN,46219,MARION,3173555411,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Below the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1500 N RITTER AVE INDIANAPOLIS, IN (39.786457, -86.073788)",https://www.ecommunity.com/locations/community-hospital-east,https://www.ecommunity.com/locations,https://www.mapquest.com/us/indiana/community-hospital-east-363199912
161314,GUTHRIE COUNTY HOSPITAL,710 NORTH 12TH STREET,GUTHRIE CENTER,IA,50115,GUTHRIE,6413322201,Critical Access Hospitals,Government - Local,True,True,3,,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"710 NORTH 12TH STREET GUTHRIE CENTER, IA (41.683666, -94.494399)",https://guthriecountyhospital.org/,https://guthriecountyhospital.org/contact-us/,https://guthriecountyhospital.org/clinics/
191323,RICHLAND PARISH HOSPITAL-DELHI,407 CINCINNATI STREET,DELHI,LA,71232,RICHLAND,3188785171,Critical Access Hospitals,Government - Hospital District or Authority,True,True,4,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"407 CINCINNATI STREET DELHI, LA (32.452864, -91.494079)",http://www.delhihospital.com/,http://www.delhihospital.com/locations,http://www.delhihospital.com/clinic-services
171320,HORTON COMMUNITY HOSPITAL,240 WEST 18TH STREET,HORTON,KS,66439,BROWN,7854862642,Critical Access Hospitals,Proprietary,True,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"240 WEST 18TH STREET HORTON, KS (39.672716, -95.530024)",http://www.horton-hospital.com/,http://www.horton-hospital.com/Resources/Contact-Us.aspx,http://www.horton-hospital.com/About-Us.aspx
140127,ADVOCATE BROMENN MEDICAL CENTER,1304 FRANKLIN AVENUE,NORMAL,IL,61761,MC LEAN,3094541400,Acute Care Hospitals,Voluntary non-profit - Church,True,True,4,,Below the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,"1304 FRANKLIN AVENUE NORMAL, IL (40.496332, -88.99096)",https://www.advocatehealth.com/bromenn/,https://www.advocatehealth.com/bromenn/patients-visitors/contact-us/,https://www.advocatehealth.com/bromenn/patients-visitors/hospital-information/
